OBJECTID,HVR_RD_TRAIN_REF1,HVR_RD_TRAIN_REF1_COMM,RD_MANAGER,SUBJECT_PREF_RDNAME,LRS_RMACLASS,LOCALITIES,Shape_Length
52,Approved,No Conditions Apply,MILDURA,BEASLEY DRIVE,Municipal Road,KOORLONG,1677.84525918295
53,Approved,No Conditions Apply,MILDURA,BENETOOK AVENUE ,Municipal Road,IRYMPLE to KOORLONG,17113.0143326223
54,Approved,No Conditions Apply,MILDURA,BENETOOK AVENUE ,Municipal Road,IRYMPLE to MILDURA,4009.98266700108
55,Approved,No Conditions Apply,MILDURA,BETHUNE ROAD ,Municipal Road,OUYEN,1577.75566809602
56,Approved,No Conditions Apply,MILDURA,BOINKA SOUTH ROAD ,Municipal Road,BOINKA,2732.5460248997
57,Approved,No Conditions Apply,MILDURA,BOONOONAR ROAD,Municipal Road,CARWARP to COLIGNAN,15571.1781067297
58,Approved,No Conditions Apply,MILDURA,BOONOONAR ROAD,Municipal Road,COLIGNAN,3407.1629947522
59,Approved,No Conditions Apply,MILDURA,BORONIA DRIVE ,Municipal Road,CULLULLERAINE,328.538594475389
60,Approved,No Conditions Apply,MILDURA,BRITT STREET ,Municipal Road,OUYEN,583.077684100924
61,Approved,No Conditions Apply,MILDURA,BROWN ROAD,Municipal Road,COLIGNAN,4453.2773162552
62,Approved,No Conditions Apply,MILDURA,BROWNPORT ROAD,Municipal Road,CARWARP to IRAAK,14777.7989874144
63,Approved,No Conditions Apply,MILDURA,BUSHLAND RISE,Municipal Road,KOORLONG,659.080196956332
64,Approved,No Conditions Apply,MILDURA,CARWARP ROAD ,Municipal Road,CARWARP,5276.75213159685
65,Approved,No Conditions Apply,MILDURA,CASTLE CROSSING ROAD ,Municipal Road,COLIGNAN,2143.04968915775
66,Approved,No Conditions Apply,MILDURA,CEMETERY ROAD,Municipal Road,MURRAYVILLE,184.105305381225
67,Approved,No Conditions Apply,MILDURA,CEMETERY ROAD ,Municipal Road,MURRAYVILLE,1269.57730894472
68,Approved,No Conditions Apply,MILDURA,CHINKAPOOK-MITTYACK ROAD,Municipal Road,MITTYACK,4771.2666038713
69,Approved,No Conditions Apply,MILDURA,CLAY AVENUE,Municipal Road,OUYEN,217.441815663598
70,Approved,No Conditions Apply,MILDURA,COOPER STREET,Municipal Road,OUYEN,608.753123407642
71,Approved,No Conditions Apply,MILDURA,COUSTLEY AVENUE,Municipal Road,OUYEN,367.275293103773
72,Approved,No Conditions Apply,MILDURA,COWANGIE SOUTH ROAD ,Municipal Road,COWANGIE,2189.59207600168
73,Approved,No Conditions Apply,MILDURA,DAYMAN STREET,Municipal Road,COWANGIE,2054.66406971257
74,Approved,No Conditions Apply,MILDURA,DINGO TANK ROAD ,Municipal Road,OUYEN,561.888840502587
75,Approved,No Conditions Apply,MILDURA,DONNELLY ROAD ,Municipal Road,WALPEUP,611.446300699509
76,Approved,No Conditions Apply,MILDURA,DUNKLEY ROAD ,Municipal Road,OUYEN,2405.94375932393
77,Approved,No Conditions Apply,MILDURA,EDEY ROAD,Municipal Road,RED CLIFFS,3688.40298669722
78,Approved,No Conditions Apply,MILDURA,EMMETT STREET,Municipal Road,OUYEN,857.889286347436
79,Approved,No Conditions Apply,MILDURA,FASHAM STREET ,Municipal Road,UNDERBOOL,730.549546281867
80,Approved,No Conditions Apply,MILDURA,FLETCHER ROAD,Municipal Road,WERRIMULL,215.568289614995
81,Approved,No Conditions Apply,MILDURA,FRANCIS STREET ,Municipal Road,MURRAYVILLE,707.093534543647
82,Approved,No Conditions Apply,MILDURA,FULLER STREET ,Municipal Road,OUYEN,698.811694329152
83,Approved,No Conditions Apply,MILDURA,GLEN STREET,Municipal Road,WALPEUP,799.196738392817
84,Approved,No Conditions Apply,MILDURA,GNARR ROAD,Municipal Road,UNDERBOOL,317.551299999631
85,Approved,No Conditions Apply,MILDURA,GNARR ROAD ,Municipal Road,UNDERBOOL,4923.64606096546
86,Approved,No Conditions Apply,MILDURA,GRAY STREET,Municipal Road,MURRAYVILLE,1307.56905844484
87,Approved,No Conditions Apply,MILDURA,GREENTEK COURT ,Municipal Road,KOORLONG,1577.76738359429
88,Approved,No Conditions Apply,MILDURA,GREGORY STREET ,Municipal Road,OUYEN,597.393427214637
89,Approved,No Conditions Apply,MILDURA,HANCOCK STREET,Municipal Road,OUYEN,226.448240135544
90,Approved,No Conditions Apply,MILDURA,HAROLD STREET,Municipal Road,OUYEN,466.204150170164
91,Approved,No Conditions Apply,MILDURA,HARRIS LANEWAY ,Municipal Road,OUYEN,215.903200443998
92,Approved,No Conditions Apply,MILDURA,HENDERSON STREET,Municipal Road,OUYEN,466.038791483216
93,Approved,No Conditions Apply,MILDURA,HUNT STREET,Municipal Road,OUYEN,497.348269422722
94,Approved,No Conditions Apply,MILDURA,IRAAK LAKE ROAD ,Municipal Road,IRAAK,3331.68606576914
95,Approved,No Conditions Apply,MILDURA,JESSICA STREET ,Municipal Road,COLIGNAN,210.666460537435
96,Approved,No Conditions Apply,MILDURA,JOHANSEN DRIVE,Municipal Road,CULLULLERAINE,155.719426831123
97,Approved,No Conditions Apply,MILDURA,JOHNS WAY,Municipal Road,RED CLIFFS,1030.22556197308
98,Approved,No Conditions Apply,MILDURA,JOHNSON STREET,Municipal Road,OUYEN,747.169716874256
99,Approved,No Conditions Apply,MILDURA,KEMPE ROAD ,Municipal Road,LINDSAY POINT,2663.57057601325
100,Approved,No Conditions Apply,MILDURA,KENYON STREET ,Municipal Road,WALPEUP,24.2223482739042
101,Approved,No Conditions Apply,MILDURA,KING STREET,Municipal Road,WERRIMULL,314.261545990912
102,Approved,No Conditions Apply,MILDURA,KING STREET ,Municipal Road,WERRIMULL,368.490447190941
103,Approved,No Conditions Apply,MILDURA,KULKYNE WAY ,Municipal Road,COLIGNAN,3483.06905580959
104,Approved,No Conditions Apply,MILDURA,LACEY AVENUE,Municipal Road,LINDSAY POINT,8282.96420588427
105,Approved,No Conditions Apply,MILDURA,LAFRANCHI LANEWAY ,Municipal Road,OUYEN,116.720257765475
106,Approved,No Conditions Apply,MILDURA,LAKE PARK ROAD,Municipal Road,CULLULLERAINE,778.718346224297
107,Approved,No Conditions Apply,MILDURA,LAKESIDE COURT ,Municipal Road,CULLULLERAINE,136.811781816761
108,Approved,No Conditions Apply,MILDURA,LAST STREET ,Municipal Road,MURRAYVILLE,275.871599834911
109,Approved,No Conditions Apply,MILDURA,LAWLER STREET,Municipal Road,OUYEN,281.529453682639
110,Approved,No Conditions Apply,MILDURA,LAYTON LANEWAY ,Municipal Road,OUYEN,264.305478352591
111,Approved,No Conditions Apply,MILDURA,LEWIS ROAD,Municipal Road,COLIGNAN,2308.36463963764
